State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. South andamans,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.3,0.23,,,,,,,0.2,0.3,1.5,0.8,0.7,0.88,1,0.76,0.76,,,,,,,,,,,,,,,,,,
Total (Rapeseed &Mustard),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,21.3,5.5,0.26,18.3,5,0.27,9.2,6.5,0.71,8.5,4.7,0.55,5.3,1.4,0.26,4.5,1.16,0.26,0.11,0.26,2.36,0.3,1.2,4,,,0,0.5,0.1,0.2,0.55,0.13,0.24,0.5,0.46,0.92
15. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Autumn,,,,,,,,,,,,,,,,,,,,,,3.5,10,2.86,1.5,2.5,1.67,0.35,0.4,1.14,2.65,6.3,2.38,4.6,10.8,2.35,5,11.2,2.24,6.67,9.54,1.43,1,0.53,0.53,4.1,6.01,1.47,3.1,4.3,1.39,,,,,,,1,1.26,1.26
,Kharif,102,321,3.15,83,300,3.61,189.2,510.84,2.7,52,90.17,1.73,52.94,72.57,1.37,2.09,12.06,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,102,321,3.15,83,300,3.61,189.2,510.84,2.7,52,90.17,1.73,52.94,72.57,1.37,2.09,12.06,5.77,,,0,3.5,10,2.86,1.5,2.5,1.67,0.35,0.4,1.14,2.65,6.3,2.38,4.6,10.8,2.35,5,11.2,2.24,6.67,9.54,1.43,1,0.53,0.53,4.1,6.01,1.47,3.1,4.3,1.39,,,0,,,0,1,1.26,1.26
2. North and middle andaman,Autumn,,,,,,,,,,,,,,,,,,,,,,6791,20118,2.96,7314.05,14168.2,1.94,7529.65,13942.7,1.85,7685.25,15447.2,2.01,6162.5,12644.2,2.05,5878.9,13228,2.25,4684.7,12082,2.58,5099.8,10729.33,2.1,5222.85,11055.78,2.12,5630.47,17771.58,3.16,,,,,,,4915.15,10369.04,2.11
,Kharif,10779,31863,2.96,9718,27033,2.78,,,,,,,,,,,,,6854.3,18995.62,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,10779,31863,2.96,9718,27033,2.78,,,0,,,0,,,0,,,0,6854.3,18995.62,2.77,6791,20118,2.96,7314.05,14168.2,1.94,7529.65,13942.7,1.85,7685.25,15447.2,2.01,6162.5,12644.2,2.05,5878.9,13228,2.25,4684.7,12082,2.58,5099.8,10729.33,2.1,5222.85,11055.78,2.12,5630.47,17771.58,3.16,,,0,,,0,4915.15,10369.04,2.11
3. South andamans,Autumn,,,,,,,,,,,,,,,,,,,,,,1595.5,3788,2.37,784.45,1813.3,2.31,320,390.3,1.22,317.3,792,2.5,267.5,464.3,1.74,216.1,438.8,2.03,185.1,502.18,2.71,239.75,500.28,2.09,164.16,378.57,2.31,67.55,205.37,3.04,,,,,,,73.5,153.06,2.08
,Kharif,,,,,,,10695.8,31600.82,2.95,10509.37,30760.698,2.93,10681.98,29119.66,2.73,8683.38,25870.98,2.98,921.87,2539.64,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,10695.8,31600.82,2.95,10509.37,30760.698,2.93,10681.98,29119.66,2.73,8683.38,25870.98,2.98,921.87,2539.64,2.75,1595.5,3788,2.37,784.45,1813.3,2.31,320,390.3,1.22,317.3,792,2.5,267.5,464.3,1.74,216.1,438.8,2.03,185.1,502.18,2.71,239.75,500.28,2.09,164.16,378.57,2.31,67.55,205.37,3.04,,,0,,,0,73.5,153.06,2.08
Total (Rice),,10881,32184,2.96,9801,27333,2.79,10885,32111.66,2.95,10561.37,30850.868,2.92,10734.92,29192.23,2.72,8685.47,25883.04,2.98,7776.17,21535.26,2.77,8390,23916,2.85,8100,15984,1.97,7850,14333.4,1.83,8005.2,16245.5,2.03,6434.6,13119.3,2.04,6100,13678,2.24,4876.47,12593.72,2.58,5340.55,11230.14,2.1,5391.11,11440.36,2.12,5701.12,17981.25,3.15,,,0,,,0,4989.65,10523.36,2.11
16. Sesamum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.05,0.26,0.23,0.27,1.17,1.2,0.3,0.25,0.5,0.3,0.6,1.5,0.9,0.6,1.65,1,0.61,1,0.45,0.45
,Summer,,,,,,,,,,,,,,,,,,,,,,,,,43.5,21.6,0.5,60.5,19.9,0.33,29.5,6.3,0.21,23,7.3,0.32,35,6.7,0.19,,,,,,,,,,,,,,,,,,,,,
,Total,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,43.5,21.6,0.5,60.5,19.9,0.33,29.5,6.3,0.21,23,7.3,0.32,35,6.7,0.19,4,1.05,0.26,0.23,0.27,1.17,1.2,0.3,0.25,0.5,0.3,0.6,1.5,0.9,0.6,1.65,1,0.61,1,0.45,0.45
2. South andamans,Summer,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3.4,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Sesamum),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,50,25,0.5,60.5,19.9,0.33,29.5,6.3,0.21,23,7.3,0.32,35,6.7,0.19,4,1.05,0.26,0.23,0.27,1.17,1.2,0.3,0.25,0.5,0.3,0.6,1.5,0.9,0.6,1.65,1,0.61,1,0.45,0.45
17. Sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Nicobars,Autumn,,,,,,,,,,,,,,,,,,,,,,13.4,41.75,3.12,4.5,10.5,2.33,6.6,3.7,0.56,11,373.4,33.95,22.2,254,11.44,6,12,2,18.43,27,1.47,17,13.2,0.78,3,10,3.33,3.7,15,4.05,3.3,13.5,4.09,5.5,30.1,5.47,,,
2. North and middle andaman,Autumn,,,,,,,,,,,,,,,,,,,,,,73.33,889.2,12.13,105,1892,18.02,205.4,4627.7,22.53,201,4704.6,23.41,108,1543,14.29,48.5,830,17.11,44.7,495.64,11.09,54.05,153.73,2.84,94.83,385.43,4.06,61.31,440.82,7.19,88.8,393.93,4.44,47.1,205.26,4.36,33,238,7.21
3. South andamans,Autumn,,,,,,,,,,,,,,,,,,,,,,67.5,402,5.96,61.8,562,9.09,62.5,1252,20.03,57.5,2058,35.79,59.8,2158,36.09,54.8,1508,27.52,58.2,1021,17.54,39.47,221.77,5.62,18.55,261.25,14.08,23.45,373.82,15.94,52.84,2497.37,47.26,92.65,2751,29.69,92.75,2748.78,29.64
Total (Sugarcane),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,154.23,1332.95,8.64,171.3,2464.5,14.39,274.5,5883.4,21.43,269.5,7136,26.48,190,3955,20.82,109.3,2350,21.5,121.33,1543.64,12.72,110.52,388.7,3.52,116.38,656.68,5.64,88.46,829.64,9.38,144.94,2904.8,20.04,145.25,2986.36,20.56,125.75,2986.78,23.75
18. Sunflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North and middle andaman,Rabi,,,,,,,,,,,,,,,,,,,,,,2.9,1.9,0.66,,,,,,,,,,,,,0.5,0.2,0.4,0.5,0.4,0.8,,,,0.2,0.6,3,,,,,,,,,,,,
