State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19. Siang,Kharif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126,3762,1.77,2201,3773,1.71,2226,3861,1.73,2240,3898,1.74,2244,3951,1.76,2246,3995,1.78,2375,4156,1.75,2391,4189,1.75
20. Tawang,Kharif,875,1645,1.88,875,1640,1.87,880,1654,1.88,885,1682,1.9,883,1678,1.9,722,1408,1.95,710,1420,2,710,1420,2,700,1470,2.1,695,1494,2.15,700,1512,2.16,722,1600,2.22,800,1728,2.16,700,1512,2.16,765,1914,2.5,810,1985,2.45,885,1996,2.26,910,2090,2.3,919,2127,2.31,923,2180,2.36,925,2224,2.4,930,2223,2.39,950,2272,2.39
21. Tirap,Kharif,2535,2892,1.14,1730,3079,1.78,2738,3307,1.21,2737,3310,1.21,2740,3310,1.21,2745,3314,1.21,2745,3319,1.21,2750,3328,1.21,2755,3270,1.19,2630,3275,1.25,2636,3284,1.25,2720,3476,1.28,2722,5444,2,1225,2695,2.2,3660,4287,1.17,3705,4358,1.18,3780,4369,1.16,3805,4457,1.17,3814,4494,1.18,3818,4547,1.19,3820,4591,1.2,4020,4832,1.2,4034,4861,1.21
22. Upper siang,Kharif,800,900,1.13,8230,9299,1.13,950,1100,1.16,950,1100,1.16,1152,2305,2,1300,2600,2,1320,2640,2,1320,2020,1.53,1320,1584,1.2,1320,1502,1.14,1320,1502,1.14,1362,1590,1.17,1510,1781,1.18,1535,1845,1.2,1600,2147,1.34,1645,2218,1.35,1720,2229,1.3,1745,2317,1.33,1754,2354,1.34,1758,2407,1.37,1760,2451,1.39,1811,2556,1.41,1824,2577,1.41
23. Upper subansiri,Kharif,995,2089,2.1,4500,5700,1.27,1025,1942,1.89,1030,1947,1.89,1031,1948,1.89,977,981,1,969,1086,1.12,986,1273,1.29,1001,1252,1.25,928,1160,1.25,1025,1169,1.14,1058,1237,1.17,1072,1286,1.2,1074,1360,1.27,1139,1662,1.46,1184,1773,1.5,1259,1784,1.42,1284,1872,1.46,1082,1601,1.48,1086,1654,1.52,1088,1698,1.56,1178,1838,1.56,1187,1855,1.56
24. West kameng,Kharif,3664,5679,1.55,3667,5684,1.55,3669,5690,1.55,3670,5690,1.55,3671,5691,1.55,2832,4377,1.55,2835,4394,1.55,2836,4538,1.6,2851,4576,1.61,2859,4653,1.63,2860,4659,1.63,2952,4932,1.67,2861,4834,1.69,2861,4864,1.7,2926,5266,1.8,2971,5337,1.8,3046,5348,1.76,3071,5436,1.77,3080,5473,1.78,3084,5526,1.79,3086,5570,1.8,3136,5660,1.8,3157,5702,1.81
25. West siang,Kharif,3305,4002,1.21,3545,3825,1.08,3334,4073,1.22,3335,4100,1.23,3299,4071,1.23,3457,4384,1.27,3359,4184,1.25,3442,4319,1.25,3461,4370,1.26,4415,3476,0.79,3480,4443,1.28,3591,4703,1.31,3319,4446,1.34,3334,4487,1.35,3399,4689,1.38,2549,3517,1.38,2624,3528,1.34,2649,3616,1.37,1077,1495,1.39,568,813,1.43,570,857,1.5,620,1032,1.66,643,1072,1.67
Total (Maize),,38429,52297,1.36,38577,52511,1.36,40548,55941,1.38,38605,54510,1.41,37800,54985,1.45,41853,57898,1.38,46281,63524,1.37,42736,57430,1.34,42897,58830,1.37,43630,60144,1.38,45061,64714,1.44,46500,68500,1.47,47486,68192,1.44,47018,68978,1.47,48000,75000,1.56,48800,75226,1.54,50300,75450,1.5,50797,77216,1.52,51000,78030,1.53,51100,79205,1.55,51151,80307,1.57,54215,85399,1.58,54643,86281,1.58
4. Masoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Anjaw,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,14,0.24,51,16,0.31,51,16,0.31,51,16,0.31,,,,51,16,0.31,51,27,0.53
